district,property_type,condition,area_m2,bedrooms,bathrooms,floor,age_years,balcony,garden,garage,air_conditioning,price_mad
Hay Trifa,house,good,138,4,1,0,35,0,1,1,0,1171751
Hay Bouhdila,apartment,new,288,6,3,5,22,0,0,0,0,2236591
Hay Nahda,house,to_renovate,185,4,1,0,34,0,1,1,1,1425857
Hay Trifa,apartment,good,61,1,1,0,3,1,0,0,1,581451
Hay Moulouya,apartment,new,55,1,1,0,30,1,0,0,0,408436
Hay Bouhdila,apartment,good,154,5,1,3,9,0,0,0,0,1271332
Hay Trifa,villa,renovated,231,6,2,0,41,0,1,0,0,2326416
Hay El Qods,apartment,good,81,2,1,6,25,0,0,0,1,702176
Hay Sidi Ahmed,apartment,good,93,3,1,0,28,0,0,1,1,763144
Hay Trifa,house,good,100,3,2,0,25,1,0,1,0,910843
Hay Bouhdila,apartment,to_renovate,250,6,2,2,26,1,0,0,1,1364060
Hay Dallas,apartment,renovated,154,3,1,5,22,0,0,0,0,1389952
Lotissement El Massira,apartment,good,190,4,1,5,14,1,0,1,1,1851261
Centre-ville,house,new,230,6,2,0,3,0,1,0,0,3188729
Hay Bouhdila,house,good,269,7,3,0,25,0,0,1,0,1965926
Hay Trifa,apartment,to_renovate,184,3,1,2,27,1,0,0,1,1046422
Hay Trifa,apartment,new,319,8,4,1,9,1,1,0,0,2989512
Centre-ville,apartment,good,319,7,2,3,11,0,0,1,1,3480526
Hay Trifa,apartment,new,48,1,1,4,10,0,1,0,0,555516
Hay Salam,villa,good,207,5,4,0,37,1,1,1,1,2431764
Lotissement El Massira,villa,to_renovate,276,7,2,0,40,0,1,1,1,2403583
Hay Moulouya,house,good,49,1,1,0,5,0,0,0,0,459695
Hay Moulouya,apartment,to_renovate,273,6,2,3,41,0,0,1,1,1652491
Hay Trifa,house,renovated,111,4,1,0,17,1,1,1,1,1287708
Hay Moulouya,house,good,303,8,4,0,27,1,0,1,1,2522118
Hay Salam,apartment,new,106,3,1,3,7,0,0,1,0,1178888
Hay Salam,apartment,good,224,6,3,2,7,0,0,0,1,1948053
Hay Trifa,house,new,173,4,2,0,34,1,1,0,1,1561901
Hay Nahda,house,good,303,7,3,0,0,1,1,1,1,3219258
Hay Salam,apartment,good,149,3,1,6,14,0,0,0,0,1117427
Hay Dallas,apartment,good,272,6,3,1,14,0,0,1,1,2316444
Hay Moulouya,house,to_renovate,179,4,1,0,27,0,1,1,1,1222558
Hay Sidi Ahmed,apartment,new,245,6,2,2,9,1,0,1,0,2045453
Hay El Qods,apartment,new,298,7,3,1,43,0,0,1,0,2187542
Hay Moulouya,apartment,renovated,283,6,3,5,28,0,0,1,1,2318799
Hay Salam,villa,new,250,6,3,0,4,1,1,0,0,3410009
Hay Sidi Ahmed,house,good,170,4,1,0,36,1,0,1,0,1341622
Hay Moulouya,villa,good,207,5,2,0,5,1,0,1,1,2403703
Hay El Qods,villa,renovated,257,7,2,0,44,1,1,0,1,2663351
Hay Sidi Ahmed,apartment,good,76,2,1,0,4,1,1,0,1,776355
Lotissement El Massira,apartment,new,101,2,1,1,10,0,1,0,1,1206008
Centre-ville,house,renovated,154,4,3,0,1,1,1,0,1,2213131
Hay El Qods,apartment,good,252,7,3,0,40,1,0,0,1,1859467
Hay El Qods,apartment,to_renovate,66,2,1,6,39,0,0,0,1,459459
Centre-ville,villa,good,222,7,2,0,1,1,0,1,1,3012709
Hay Salam,apartment,renovated,138,2,1,6,16,1,0,1,1,1309091
Hay Sidi Ahmed,villa,good,65,1,1,0,31,1,1,1,1,845743
Hay Salam,villa,renovated,104,2,1,0,29,0,1,1,1,1308493
Hay Sidi Ahmed,apartment,good,191,5,2,1,39,0,0,1,1,1381126
Lotissement El Massira,apartment,to_renovate,141,2,1,1,8,1,0,0,0,1103667
Hay Salam,apartment,good,262,6,2,6,45,1,0,0,1,2006975
Hay Bouhdila,house,good,221,4,2,0,37,1,1,1,0,1737540
Centre-ville,apartment,to_renovate,75,2,1,2,33,0,0,1,1,702236
Hay Trifa,apartment,good,245,5,2,3,18,0,0,0,1,1797191
Hay Moulouya,apartment,good,313,7,3,5,3,1,0,1,0,2898500
Hay Salam,villa,good,213,6,3,0,19,1,1,1,1,2509264
Hay Bouhdila,house,to_renovate,256,6,3,0,15,1,1,1,0,2034194
Hay Sidi Ahmed,villa,renovated,110,3,1,0,15,0,1,1,0,1319543
Hay Nahda,apartment,to_renovate,189,3,1,3,42,1,0,0,1,1065046
Hay Nahda,house,good,218,5,3,0,45,1,1,0,1,1794861
Hay Sidi Ahmed,house,good,119,4,2,0,2,1,1,1,1,1325181
Hay Sidi Ahmed,apartment,to_renovate,252,6,2,1,30,0,0,0,0,1325438
Hay El Qods,house,good,82,2,1,0,31,1,0,1,1,807476
Hay Moulouya,house,renovated,176,4,1,0,19,1,0,0,1,1577488
Centre-ville,apartment,good,94,2,1,3,17,1,1,1,1,1233888
Hay El Qods,house,renovated,168,5,2,0,12,1,1,1,1,2063508
Hay Trifa,house,good,294,7,4,0,8,0,1,1,1,2486387
Lotissement El Massira,villa,good,222,6,2,0,12,1,1,1,1,2909134
Centre-ville,house,new,100,2,1,0,5,1,1,1,1,1555701
Hay El Qods,villa,good,302,8,3,0,35,1,1,1,0,3224724
Hay Bouhdila,house,good,112,3,2,0,36,0,1,1,1,1111685
Hay Salam,house,good,237,6,2,0,39,0,1,0,1,1886212
Hay Moulouya,apartment,renovated,166,3,1,6,23,0,0,0,1,1388533
Hay Dallas,house,good,286,7,4,0,11,1,1,1,1,3022638
Hay Sidi Ahmed,apartment,new,147,4,1,5,4,1,0,1,0,1597396
Hay Moulouya,apartment,good,225,5,2,3,24,0,0,1,0,1772134
Hay Trifa,apartment,renovated,315,8,3,4,17,1,0,0,0,2399747
Centre-ville,house,renovated,225,4,1,0,31,1,0,1,1,2329006
Hay Bouhdila,apartment,renovated,111,3,1,0,22,1,0,1,1,1074840
Hay Bouhdila,house,renovated,53,1,1,0,31,1,1,1,1,666935
Hay Dallas,villa,new,256,7,3,0,10,1,1,1,1,3355936
Hay Salam,apartment,new,73,2,1,4,27,1,0,0,1,759949
Lotissement El Massira,house,renovated,104,2,1,0,30,0,0,0,1,1134832
Hay Moulouya,house,good,311,7,2,0,33,1,1,1,1,2510945
Lotissement El Massira,villa,renovated,275,7,4,0,36,1,1,1,1,3258277
Hay Moulouya,apartment,good,129,4,2,4,35,0,0,1,1,1100288
Hay Nahda,apartment,good,86,3,2,6,44,0,0,0,0,747134
Hay Nahda,house,good,60,2,1,0,25,1,1,1,1,811601
Hay Salam,house,renovated,298,8,4,0,11,1,1,1,1,2908348
Hay Bouhdila,apartment,good,175,2,1,1,38,1,0,1,0,1141445
Hay Nahda,house,good,250,6,3,0,43,0,1,1,0,2094188
Centre-ville,house,new,234,6,2,0,37,1,1,0,1,2721960
Hay Salam,apartment,good,233,6,2,5,34,0,0,0,0,1662233
Hay Trifa,apartment,good,236,5,2,4,11,1,1,0,1,1961380
Hay Bouhdila,villa,good,300,6,2,0,8,0,1,1,1,2924484
Lotissement El Massira,house,good,276,6,3,0,11,0,0,1,0,2875085
Lotissement El Massira,house,to_renovate,315,8,4,0,21,1,1,1,1,2603127
Hay El Qods,villa,good,317,7,3,0,14,1,0,1,1,3377530
Hay Trifa,house,new,304,7,3,0,2,1,1,1,1,3117038
Hay Bouhdila,apartment,renovated,150,4,1,2,1,1,0,0,0,1292878
Hay Trifa,house,new,78,3,1,0,12,0,1,1,1,932815
Lotissement El Massira,apartment,good,221,5,2,0,7,1,0,1,0,2327189
Centre-ville,apartment,good,111,3,1,2,3,1,0,1,1,1464911
Hay Nahda,apartment,good,59,1,1,0,44,0,0,0,0,430127
Hay Dallas,apartment,to_renovate,238,6,2,3,44,1,0,0,0,1308067
Hay Salam,apartment,to_renovate,237,7,3,5,17,0,0,0,0,1532125
Hay Salam,apartment,good,317,7,3,4,40,1,1,1,0,2459825
Hay Dallas,apartment,new,225,4,2,6,18,0,0,0,1,1976836
Lotissement El Massira,villa,good,311,7,2,0,45,1,0,1,1,2758323
Hay Trifa,apartment,new,136,4,2,6,26,0,0,1,1,1303513
Centre-ville,house,good,213,5,2,0,1,1,1,1,1,2707346
Hay El Qods,house,good,81,2,1,0,18,1,1,1,0,920829
Lotissement El Massira,apartment,good,56,1,1,5,20,1,0,0,1,575744
Hay Moulouya,house,renovated,143,3,1,0,10,1,1,0,0,1546750
Hay Salam,apartment,renovated,251,6,3,5,21,0,0,0,0,2310675
Hay El Qods,house,good,224,5,2,0,16,1,1,0,0,2296115
Hay Salam,house,new,162,5,2,0,22,1,1,1,0,1840286
Hay El Qods,house,good,206,6,2,0,38,0,1,1,0,1892164
Hay Nahda,apartment,new,97,2,1,5,45,1,0,0,1,932748
Lotissement El Massira,apartment,renovated,234,4,2,5,6,1,0,0,1,2397885
Hay Bouhdila,apartment,renovated,269,6,2,4,33,1,1,0,1,2393796
Hay El Qods,apartment,renovated,150,4,2,0,29,0,0,0,0,1431545
Centre-ville,house,good,166,5,2,0,23,1,0,1,1,1972418
Hay Dallas,house,renovated,122,3,2,0,44,1,1,1,1,1342228
Hay Bouhdila,apartment,new,250,6,3,0,29,1,1,0,1,2255944
Hay Trifa,apartment,new,248,6,3,6,23,1,0,1,0,2292887
Hay El Qods,apartment,good,232,6,3,4,45,1,1,0,1,1840892
Hay Salam,villa,good,295,7,4,0,23,0,1,1,0,3149829
Lotissement El Massira,villa,good,107,2,1,0,1,1,1,1,0,1732320
Centre-ville,apartment,renovated,91,3,1,4,24,1,0,1,0,1056717
Hay Moulouya,apartment,good,98,1,1,3,30,1,0,1,1,872567
Hay Dallas,apartment,new,267,6,3,2,38,0,0,0,1,2182467
Centre-ville,house,good,309,8,3,0,26,0,1,1,1,3223586
Hay Salam,apartment,good,214,5,2,1,40,1,0,1,0,1837722
Lotissement El Massira,apartment,good,299,8,3,6,39,1,0,1,1,2564739
Hay Nahda,villa,good,46,2,1,0,5,0,0,1,1,683683
Hay El Qods,house,new,242,5,2,0,26,1,1,0,0,2498357
Hay Moulouya,house,renovated,231,6,3,0,42,1,1,1,0,1993480
Hay Bouhdila,house,to_renovate,195,4,1,0,13,1,0,1,0,1339146
Hay Trifa,apartment,good,68,3,1,5,29,1,0,0,1,539713
Hay Moulouya,house,renovated,67,2,1,0,2,1,1,1,1,924521
Hay Bouhdila,house,to_renovate,117,2,1,0,5,0,1,1,1,917886
Hay Trifa,apartment,good,122,3,2,1,33,1,0,1,0,982295
Hay Bouhdila,apartment,renovated,249,6,2,2,5,1,0,1,0,2294772
Hay Nahda,house,renovated,205,5,1,0,39,1,0,1,0,1881479
Lotissement El Massira,villa,good,146,4,1,0,39,1,1,1,0,1724601
Hay Moulouya,house,to_renovate,111,2,2,0,24,1,0,0,1,824866
Centre-ville,apartment,renovated,71,2,1,5,41,0,1,0,0,783701
Lotissement El Massira,house,to_renovate,315,8,4,0,10,1,1,0,1,2930914
Hay El Qods,villa,new,258,6,3,0,40,0,1,1,0,2818896
Hay Trifa,apartment,new,291,8,4,0,42,1,0,0,0,2153995
Lotissement El Massira,apartment,good,232,5,3,0,44,1,0,0,0,1892348
Lotissement El Massira,apartment,good,212,4,1,4,3,0,0,0,1,2203009
Hay El Qods,house,good,143,1,1,0,7,1,1,1,1,1647201
Hay Dallas,house,renovated,284,8,4,0,4,1,0,1,0,3046856
Hay El Qods,house,good,269,7,3,0,15,1,0,1,1,2711924
Hay Nahda,house,good,289,8,3,0,19,1,1,0,0,2720971
Lotissement El Massira,house,good,62,1,1,0,23,1,0,1,1,841421
Hay Trifa,apartment,renovated,128,2,2,5,20,1,0,1,1,1127568
Lotissement El Massira,house,good,271,7,3,0,15,1,0,1,1,2995864
Hay Salam,apartment,good,148,4,2,0,40,0,0,1,0,1311504
Hay Dallas,apartment,good,282,6,3,5,26,1,0,1,0,2268124
Hay Salam,house,renovated,222,6,2,0,21,1,1,1,1,2091416
Hay Trifa,apartment,good,75,3,2,3,0,1,0,1,0,695231
Hay Trifa,apartment,to_renovate,151,4,2,1,44,0,0,0,0,740288
Centre-ville,house,to_renovate,84,2,1,0,38,0,1,1,0,879619
Hay Salam,house,renovated,287,7,3,0,33,1,1,1,1,2945108
Hay El Qods,house,renovated,263,5,2,0,39,1,0,1,0,2231894
Hay Bouhdila,house,new,270,6,3,0,29,1,1,1,0,2381456
Hay Salam,apartment,renovated,310,8,4,5,36,0,1,1,1,2542201
Hay Nahda,apartment,renovated,294,8,4,2,38,1,0,0,1,2482704
Centre-ville,apartment,to_renovate,66,1,1,1,44,1,0,1,0,565949
Hay Sidi Ahmed,apartment,to_renovate,247,4,2,3,31,0,0,1,0,1408004
Hay Salam,house,new,213,6,3,0,15,1,1,0,1,2491984
Hay Moulouya,villa,new,234,6,2,0,35,0,0,0,1,2479652
Hay Bouhdila,apartment,good,214,6,3,4,4,0,0,1,0,1674096
Hay Dallas,apartment,good,167,5,3,5,21,0,0,0,0,1483374
Hay El Qods,apartment,to_renovate,201,5,2,6,2,1,1,0,0,1620397
Hay Moulouya,apartment,good,271,7,3,2,34,0,0,0,1,2155318
Hay Trifa,apartment,good,242,6,3,3,35,1,1,1,0,1831128
Hay Salam,villa,renovated,286,7,3,0,18,1,0,1,1,3171251
Hay Bouhdila,villa,to_renovate,82,2,1,0,4,1,1,1,1,880318
Hay Dallas,apartment,to_renovate,77,1,1,4,31,1,0,1,0,531573
Hay Dallas,apartment,renovated,81,2,1,4,2,0,0,0,1,739045
Hay Bouhdila,house,good,287,8,3,0,44,1,1,1,1,2185871
Hay Salam,apartment,renovated,306,7,3,3,39,1,1,0,0,2289650
Hay El Qods,apartment,good,63,1,1,0,5,1,0,0,1,632228
Hay Dallas,villa,good,112,2,1,0,31,1,1,1,0,1270792
Hay Nahda,house,good,246,3,2,0,42,0,1,1,1,1887307
Hay Bouhdila,apartment,to_renovate,169,3,1,0,25,1,0,0,0,851781
Hay Trifa,apartment,renovated,171,3,1,3,18,1,0,0,0,1464714
Hay El Qods,apartment,to_renovate,147,3,1,4,30,1,0,0,1,898662
Hay Trifa,house,good,213,6,2,0,35,1,0,1,1,1805109
Centre-ville,house,good,130,4,1,0,25,0,1,1,1,1450678
Hay Bouhdila,house,good,53,2,2,0,12,1,0,1,1,596778
Hay Nahda,apartment,good,57,1,1,1,39,1,0,0,0,377626
Hay Moulouya,house,good,165,3,2,0,16,0,0,1,0,1348431
Hay Moulouya,house,good,55,2,1,0,29,1,1,0,1,614958
Hay El Qods,apartment,new,204,5,3,6,43,1,0,1,1,1795556
Hay Moulouya,apartment,new,95,1,1,0,7,1,0,0,1,950868
Centre-ville,house,good,225,6,2,0,30,1,1,1,0,2499267
Hay Trifa,villa,good,183,4,2,0,41,0,0,1,0,1447683
Hay El Qods,house,good,164,5,2,0,44,0,1,1,0,1628073
Centre-ville,apartment,new,240,7,3,0,31,1,0,0,1,2693412
Hay El Qods,apartment,new,108,4,1,2,8,0,0,0,1,1200212
Centre-ville,house,good,308,6,3,0,12,1,1,0,0,3483422
Hay Moulouya,villa,good,158,4,2,0,13,0,1,1,0,1761494
Hay Nahda,apartment,good,254,5,2,5,21,1,0,0,1,1963456
Hay El Qods,apartment,good,143,3,1,2,44,0,0,1,1,1111757
Hay Salam,apartment,renovated,125,4,2,3,34,1,0,1,1,1255598
Lotissement El Massira,apartment,renovated,100,3,1,2,27,0,0,1,0,977962
Hay Dallas,apartment,to_renovate,89,2,1,0,33,0,0,0,1,560316
Lotissement El Massira,apartment,new,253,6,3,0,20,1,0,0,1,2645597
Hay Sidi Ahmed,house,to_renovate,229,5,2,0,10,1,1,1,1,1602307
Lotissement El Massira,villa,good,222,5,2,0,17,0,1,1,0,3220424
Hay Dallas,apartment,good,268,5,3,0,31,0,0,1,1,2071850
Hay Salam,house,good,228,4,2,0,4,1,0,0,1,2038832
Hay Trifa,villa,good,281,8,2,0,33,1,1,0,0,2615392
Centre-ville,house,good,57,3,2,0,31,1,0,0,0,644733
Hay Trifa,apartment,renovated,171,6,2,0,30,0,0,0,1,1284320
